,property_type,state,lat,lon,area_m2,price_usd
0,house,Estado de México,19.560181,-99.233528,150.0,67965.56
1,house,Nuevo León,25.6884355,-100.1988071,186.0,63223.78
2,apartment,Guerrero,16.767704,-99.764383,82.0,84298.37
3,apartment,Guerrero,16.829782,-99.911012,150.0,94308.8
5,house,Yucatán,21.0525830247,-89.5386385918,205.0,105191.37
6,house,Querétaro,20.7163149,-100.4525027,320.0,274034.68
9,house,Morelos,18.8126047,-98.9548261,281.0,151509.56
10,house,Chiapas,16.769737,-93.088928,140.0,79029.72
11,house,Estado de México,19.305407331,-99.646948278,235.0,115937.75
12,house,Morelos,18.804197,-98.932816,117.0,63223.78
13,apartment,Guerrero,16.775165,-99.789939,117.0,157269.15
14,house,Yucatán,21.0483333,-89.6780555,193.0,104607.47
15,house,Estado de México,19.560181,-99.233528,85.0,63238.77
16,house,Tabasco,18.0140820847,-92.896399498,135.0,77994.48
17,apartment,Distrito Federal,19.390748,-99.158695,127.0,131716.2
18,apartment,Yucatán,21.3371507411,-89.3226885796,208.0,203167.1
19,house,Distrito Federal,19.337652,-99.2233268,297.0,264390.77
20,house,Nayarit,21.518174,-104.9074948,173.0,63238.77
21,house,Morelos,18.855343,-99.241142,73.0,36775.16
22,apartment,Puebla,19.0248763,-98.1945109,170.0,173570.3
23,apartment,Distrito Federal,19.403334,-99.157755,129.0,131716.2
24,apartment,Distrito Federal,19.428152,-99.106194,68.0,67175.26
25,house,Puebla,18.991881,-98.275275,334.0,262905.55
26,house,Veracruz de Ignacio de la Llave,25.624891,-103.397214,106.0,40041.72
27,house,Yucatán,20.997143,-89.601028,132.0,64556.24
28,house,Sinaloa,23.239141,-106.412613,104.0,44783.51
29,apartment,Distrito Federal,19.430141,-99.172536,97.0,104846.1
31,house,Estado de México,19.538595,-99.180214,200.0,158059.45
33,apartment,Yucatán,21.030668,-89.599258,80.0,84845.35
34,house,Tabasco,17.8931239971,-92.9212732315,70.0,39514.86
35,house,Chiapas,16.717077,-93.162903,240.0,158059.45
38,house,Tamaulipas,22.3261979,-97.8885244,188.0,92223.21
39,house,Yucatán,21.0231861,-89.5863038,253.0,129639.48
40,apartment,Distrito Federal,19.39365,-99.14769,128.0,120125.18
41,house,Veracruz de Ignacio de la Llave,25.569582,-103.33239,350.0,158059.45
43,house,Veracruz de Ignacio de la Llave,25.581369,-103.377648,133.0,51632.75
45,house,Puebla,19.0412967,-98.2061996,250.0,155461.98
46,house,Distrito Federal,19.390301,-99.11161,187.0,126447.56
48,house,Veracruz de Ignacio de la Llave,19.101803,-96.163884,127.0,51662.25
49,apartment,Puebla,19.026517,-98.214364,102.0,97598.5
50,house,Jalisco,23.634501,-102.552788,107.0,57955.13
51,house,Yucatán,21.075163,-89.516731,242.0,108534.15
52,house,Distrito Federal,19.3605334,-99.2267067,245.0,247626.47
53,apartment,Distrito Federal,19.351369,-99.248993,90.0,86300.46
54,apartment,Distrito Federal,19.412142,-99.146127,75.0,44794.13
55,apartment,Puebla,18.987232,-98.206947,93.0,40841.7
57,house,Estado de México,19.715134,-99.214828,126.0,95309.84
58,house,Distrito Federal,19.374069,-99.01932,300.0,150719.07
59,house,San Luis Potosí,22.133745,-101.016029,132.0,81683.41
60,house,Morelos,18.804197,-98.932816,130.0,65858.1
61,apartment,Yucatán,21.0294432,-89.6322061,237.0,192087.77
62,house,Sinaloa,24.8093254,-107.4692179,96.0,60603.82
63,apartment,Distrito Federal,19.33923,-99.218987,102.0,237089.17
64,house,Baja California,32.493049,-116.907481,76.0,41095.45
65,house,Hidalgo,20.1254846,-98.7362998,229.0,158096.93
66,house,Morelos,18.960244,-99.212962,305.0,227351.46
67,house,Puebla,23.634501,-102.552788,128.0,67438.69
68,house,Estado de México,19.5380802461,-99.2384793394,240.0,136984.85
69,house,Quintana Roo,21.129547,-86.817017,135.0,93781.94
70,house,Nuevo León,25.5683841,-100.2439723,320.0,205477.28
73,apartment,Tamaulipas,22.217112,-97.854477,170.0,43887.84
74,house,Guerrero,16.860338,-99.870399,168.0,94835.67
76,house,Veracruz de Ignacio de la Llave,19.109509,-96.111477,220.0,105372.96
77,house,Guerrero,16.771518,-99.772466,180.0,79029.72
78,house,Querétaro,23.634501,-102.552788,250.0,176499.72
79,apartment,Yucatán,21.0307114,-89.6181018,157.0,81630.71
80,house,Querétaro,20.6536084,-100.3469826,128.0,105372.96
81,house,Estado de México,19.650003,-99.220367,135.0,126477.54
83,house,Nuevo León,25.708134,-100.145821,60.0,34254.33
84,house,Nuevo León,25.751371,-100.238281,185.0,72707.34
85,apartment,Distrito Federal,19.351371,-99.161529,60.0,35563.37
86,house,Distrito Federal,19.298899,-99.208048,300.0,207057.88
87,house,Veracruz de Ignacio de la Llave,25.581989,-103.378005,220.0,76395.4
88,house,Tamaulipas,26.074236,-98.349915,200.0,126447.56
89,house,Quintana Roo,21.1504824698,-86.8156854808,261.0,216014.58
91,house,Jalisco,20.785506,-103.442286,98.0,52423.05
92,apartment,Distrito Federal,19.374421,-99.13907,72.0,118386.52
93,house,Yucatán,20.99947,-89.642815,211.0,63238.77
95,house,Estado de México,19.533243,-99.227295,200.0,173865.39
96,house,Querétaro,20.705742,-100.444016,300.0,226551.88
97,house,Sonora,29.058504,-110.978981,185.0,34254.33
98,house,Puebla,18.99466,-98.2761016,178.0,139652.29
99,house,Sinaloa,24.754314,-107.402241,280.0,84298.37
101,house,Estado de México,19.544106,-99.112656,131.0,68492.42
103,house,Chihuahua,28.6329957,-106.0691004,115.0,63238.77
104,house,Yucatán,20.992149142,-89.5655331016,121.0,65873.72
105,house,San Luis Potosí,22.141575,-100.900192,108.0,50591.01
106,house,Distrito Federal,19.499857,-99.097517,300.0,126447.56
107,apartment,Distrito Federal,19.381729,-99.164986,80.0,142253.5
108,house,Morelos,18.942068,-99.242531,290.0,242415.29
109,house,Puebla,19.087196,-98.288637,148.0,72707.34
110,house,Veracruz de Ignacio de la Llave,19.1616453,-96.154687,290.0,147557.13
111,house,Puebla,18.989595,-98.203529,200.0,150192.08
112,house,Morelos,18.917542,-98.963181,220.0,110641.61
114,house,Yucatán,20.9993534,-89.5910162,192.0,86953.31
116,house,Baja California Sur,24.1499447277,-110.3169306368,176.0,131747.44
118,apartment,Distrito Federal,19.384533,-99.183172,120.0,189716.32
119,house,Distrito Federal,19.317922,-99.236124,350.0,176499.72
120,house,Estado de México,19.696592,-99.231445,87.0,152000.5
121,apartment,Distrito Federal,19.3825040623,-99.1580399126,78.0,137017.34
122,apartment,Distrito Federal,19.401819,-99.184615,75.0,78502.86
123,house,Puebla,18.998509,-98.179484,200.0,102738.64
124,apartment,San Luis Potosí,22.1418,-101.027344,114.0,88270.78
125,house,Yucatán,21.072905,-89.65963,266.0,111721.83
126,house,Nuevo León,25.6318511,-100.170963,204.0,51644.99
127,house,Estado de México,19.283869,-99.588992,70.0,57006.77
128,house,Jalisco,20.532827,-103.483829,155.0,110641.61
129,house,Morelos,18.918608,-98.941094,247.0,142287.24
130,apartment,Jalisco,20.649012,-103.448288,88.0,82875.83
131,house,Yucatán,21.030668,-89.599258,175.0,120944.15
132,house,Zacatecas,23.634501,-102.552788,170.0,89567.02
133,apartment,Distrito Federal,19.380937,-99.179545,98.0,197100.13
134,apartment,Estado de México,19.559799,-99.233795,60.0,34599.16
135,house,Yucatán,21.072905,-89.65963,127.0,47417.83
136,house,Distrito Federal,19.367215,-99.222138,180.0,116173.69
138,house,Puebla,19.044477,-98.328011,326.0,326733.66
139,house,Veracruz de Ignacio de la Llave,18.134026,-94.476112,210.0,247626.47
140,house,Veracruz de Ignacio de la Llave,25.572505,-103.425036,330.0,121178.91
142,house,Estado de México,19.290517,-99.694921,157.0,105372.96
143,house,Jalisco,20.788616,-103.435217,156.0,123813.23
144,apartment,Nuevo León,25.6526883,-100.4122654,101.0,160866.42
145,house,Nuevo León,25.680067,-100.458626,336.0,142253.5
146,house,Estado de México,19.305643,-98.901535,120.0,42159.18
147,house,Estado de México,19.684991,-99.225298,60.0,37670.83
148,house,Yucatán,21.008295,-89.591019,282.0,123052.11
149,apartment,Guerrero,16.8572859,-99.9089643,130.0,104870.96
150,house,San Luis Potosí,22.093321,-100.895958,110.0,46840.27
151,house,Puebla,23.634501,-102.552788,156.0,94835.67
152,house,San Luis Potosí,22.1387477,-101.0181525,200.0,97469.99
153,house,Estado de México,19.428043,-99.227384,309.0,306529.96
154,house,Hidalgo,20.059217,-98.790423,200.0,136984.85
155,house,Yucatán,21.292982,-89.603973,100.0,139652.29
156,house,Morelos,18.903454,-99.056687,145.0,89567.02
157,house,Distrito Federal,19.411699,-99.166247,120.0,230874.8
158,house,Morelos,18.8917916491,-99.2227220535,183.0,147557.13
159,house,Yucatán,21.0424858,-89.5568382,107.0,50579.02
160,apartment,Querétaro,20.711874,-100.448934,140.0,102211.77
161,apartment,Distrito Federal,19.428152,-99.106194,67.0,79029.72
162,house,Estado de México,19.234822,-99.559659,115.0,105372.96
163,house,Estado de México,19.558449,-99.22973,180.0,67965.56
164,house,Chihuahua,28.652079,-106.109581,227.0,110641.61
166,house,Nuevo León,25.707024,-100.21376,250.0,110667.85
167,house,Aguascalientes,21.878481,-102.332787,215.0,136490.35
168,house,Veracruz de Ignacio de la Llave,19.155567,-96.13928,165.0,60589.45
169,house,Hidalgo,20.0568798423,-98.7653755526,200.0,68508.67
170,house,Nuevo León,25.634661,-100.295769,242.0,76413.51
171,apartment,Distrito Federal,19.367931,-99.170262,120.0,120652.04
172,house,Distrito Federal,19.360526,-99.301674,220.0,87703.06
173,house,Distrito Federal,19.464398,-99.113317,304.0,259470.39
174,house,Puebla,19.01195,-98.219383,385.0,237089.17
176,apartment,Yucatán,21.2929822,-89.6039725,255.0,236144.12
177,house,Distrito Federal,19.351396,-99.130999,225.0,237089.17
178,house,Morelos,18.93409,-99.254997,218.0,143530.93
179,house,Querétaro,20.6990975,-100.4705682,276.0,131747.44
180,house,Yucatán,21.030668,-89.599258,100.0,79029.72
182,house,Yucatán,20.996355,-89.583946,201.0,92223.21
183,house,Puebla,18.983141,-98.265739,135.0,42149.18
184,house,Estado de México,19.2826098,-99.6556653,90.0,56387.9
186,house,Tamaulipas,22.4107891,-97.9342897,176.0,60603.82
187,house,Tabasco,18.263374,-93.179222,104.0,39514.86
188,house,Distrito Federal,19.396669,-99.067626,220.0,110050.31
189,house,Yucatán,21.039522,-89.563911,174.0,65858.1
190,house,Estado de México,19.545097,-99.21289,233.0,171306.94
191,apartment,Puebla,19.054064,-98.245911,95.0,84318.36
192,house,Estado de México,19.62378,-99.199085,153.0,108007.29
