Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,StudentID
female,group B,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5,87,93,91,1
male,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,76,78,75,2
female,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,73,84,79,3
female,group B,some college,standard,completed,widowed,never,no,1.0,private,5 - 10,85,93,89,4
male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10,41,43,39,5
male,group D,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10,65,64,68,6
male,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52,43,7
female,group B,high school,standard,none,married,regularly,no,1.0,private,5 - 10,66,82,74,8
male,group A,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,73,71,9
female,group A,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,48,53,58,10
female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,18,32,28,11
male,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42,47,12
female,group C,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5,50,56,58,13
male,group D,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,66,69,63,14
female,group B,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,65,75,70,15
male,group A,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,75,76,76,16
male,group B,some college,standard,none,married,sometimes,yes,5.0,school_bus,< 5,66,53,53,17
female,group C,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10,69,70,76,18
male,group C,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,70,70,65,19
female,group D,some college,standard,none,single,sometimes,yes,0.0,private,< 5,66,72,72,20
female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,56,73,66,21
female,group D,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10,76,82,85,22
female,group D,some high school,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,51,64,60,23
female,group D,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,77,91,90,24
male,group B,associate's degree,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10,58,56,58,25
male,group C,associate's degree,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10,53,60,52,26
female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5.0,school_bus,< 5,48,55,52,27
male,group B,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,63,53,55,28
male,group C,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45,43,29
male,group D,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,88,78,75,30
female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,33,41,43,31
female,group E,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,86,87,32
male,group D,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,52,55,49,33
female,group C,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,0,17,10,34
male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,62,61,55,35
female,group D,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,59,58,59,36
male,group B,some high school,standard,none,married,never,yes,1.0,private,< 5,63,62,58,37
male,group D,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,45,37,37,38
female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,61,73,75,39
female,group C,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,39,64,57,40
